Det gjennomfoeres kvalitetskontroll av luftkvalitetsdata.QC-flagg viser hvilket nivaa av kvalitetskontroll dataene har vaert gjennom.QC=1 (Raadata) QC = 2(Automatisk kontrollerte data) QC= 3(Skalerte data) QC= 4(Kvalitetssikrede data / Godkjente data)
Ved kvalitetskontroll flagges verdier som gyldige eller ugyldige(f.eks ved instrumentfeil).QA = 0(Gyldig verdi) QA = 1(Ugyldig verdi)
Data er hentet fra loesningen https://luftkvalitet.nilu.no 
Tid,E6-Tiller PM10 µg/m³ Day,Dekning,E6-Tiller PM2.5 µg/m³ Day,Dekning,Elgeseter PM10 µg/m³ Day,Dekning,Elgeseter PM2.5 µg/m³ Day,Dekning,Elgeseter mobil PM10 µg/m³ Day,Dekning,Elgeseter mobil PM2.5 µg/m³ Day,Dekning,Omkjøringsvegen PM10 µg/m³ Day,Dekning,Omkjøringsvegen PM2.5 µg/m³ Day,Dekning,Torvet PM10 µg/m³ Day,Dekning,Torvet PM2.5 µg/m³ Day,Dekning,Åsveien skole PM10 µg/m³ Day,Dekning,Åsveien skole PM2.5 µg/m³ Day,Dekning,Bakke kirke PM10 µg/m³ Day,Dekning,Bakke kirke PM2.5 µg/m³ Day,Dekning
12.04.2015 00:00,16.2071627304,100,5.438135547,100,9.5732108071,88,1.86139495,88,,,,,,,,,5.7666666667,100,2.8333333333,100,,,,,15.0428399431,100,3.6535057819,100
13.04.2015 00:00,10.3320840444,100,4.5394261056,100,8.3528859833,100,2.6715254042,100,,,,,,,,,6.2291666667,100,3.5083333333,100,,,,,13.8017900403,100,3.6949209243,100
14.04.2015 00:00,12.9851990028,100,5.8132378361,100,11.3478912386,92,3.5958639758,92,,,,,,,,,9.4166666667,100,4.5041666667,100,,,,,15.2553669035,100,5.684524625,100
15.04.2015 00:00,12.535189575,100,5.1419086583,100,3.5521601794,88,1.3055375587,88,,,,,,,,,2.6916666667,100,2.175,100,,,,,6.8128641493,96,3.3602924101,96
16.04.2015 00:00,5.3833768708,100,3.7088812917,100,2.7563762884,96,1.2148214464,96,,,,,,,,,1.8541666667,100,1.5958333333,100,,,,,4.7848421465,100,2.8198275924,100
17.04.2015 00:00,25.4912908653,100,5.1415372944,100,15.3756164514,100,1.9237365514,100,,,,,,,,,6.5583333333,100,2.55,100,,,,,25.1623491547,100,3.2646510917,100
18.04.2015 00:00,6.6703671451,100,3.4689065132,100,6.6481601609,96,1.8105667594,96,,,,,,,,,4.3375,100,2.9625,100,,,,,9.9602978833,100,3.1428664417,100
19.04.2015 00:00,22.2836303729,100,8.8738380931,100,21.5770990852,100,2.592284241,100,,,,,,,,,7.65,100,4.1458333333,100,,,,,17.6302484375,100,5.7495989917,100
20.04.2015 00:00,78.9682000646,100,11.959639391,100,27.9406740616,96,3.3192393783,96,,,,,,,,,13.3833333333,100,5.8791666667,100,,,,,21.6444845542,100,5.2433383792,100
21.04.2015 00:00,53.8400172681,100,8.9595552694,100,22.5667014958,100,3.1758855417,100,,,,,,,,,13.7291666667,100,5.35,100,,,,,,50,,50
22.04.2015 00:00,16.9712316896,100,6.6813382278,100,6.5499984964,96,2.4898663384,96,,,,,,,,,5.9458333333,100,4.1333333333,100,,,,,,0,,0
23.04.2015 00:00,22.975630284,100,8.7043188618,100,15.7581632361,100,3.1870508444,100,,,,,,,,,10.6041666667,100,6.0583333333,100,,,,,,0,,0
24.04.2015 00:00,23.4918191375,100,5.9878412528,100,13.5722392638,96,2.4388848609,96,,,,,,,,,9.0166666667,100,4.3,100,,,,,,0,,0
25.04.2015 00:00,16.1835725944,100,5.3235800715,100,15.0141551985,92,2.7840073417,92,,,,,,,,,4.8333333333,100,2.4166666667,100,,,,,,0,,0
26.04.2015 00:00,14.8198474861,100,4.2860535549,100,13.5975643896,100,1.7397558097,100,,,,,,,,,4.1583333333,100,1.6,100,,,,,,0,,0
27.04.2015 00:00,33.7647090722,100,6.4143696396,100,32.7365108116,96,3.8359185558,96,,,,,,,,,13.5791666667,100,3.5708333333,100,,,,,,0,,0
28.04.2015 00:00,32.7328935799,100,6.6793041757,100,31.1417341125,100,4.7787286667,100,,,,,,,,,15.6125,100,3.9291666667,100,,,,,,0,,0
29.04.2015 00:00,29.4533622014,100,6.0674631486,100,31.3893199375,100,5.6880316167,100,,,,,,,,,18.4541666667,100,4.0833333333,100,,,,,,54,,54
