Navn;Stasjon;Tid(norsk normaltid);Pent vær (døgn);Overskya vær (døgn);Gjennomsnittlig skydekke (døgn)
Trondheim - Voll;SN68860;07.09.2015;0;1;7,7
Trondheim - Voll;SN68860;08.09.2015;0;1;7,3
Trondheim - Voll;SN68860;09.09.2015;0;0;3
Trondheim - Voll;SN68860;10.09.2015;1;0;0,7
Trondheim - Voll;SN68860;11.09.2015;1;0;1,3
Trondheim - Voll;SN68860;12.09.2015;1;0;1,7
Trondheim - Voll;SN68860;13.09.2015;0;0;3,3
Trondheim - Voll;SN68860;14.09.2015;0;1;7
Trondheim - Voll;SN68860;15.09.2015;0;0;6,3
Trondheim - Voll;SN68860;16.09.2015;0;0;3,3
Trondheim - Voll;SN68860;17.09.2015;0;1;6,7
Trondheim - Voll;SN68860;18.09.2015;0;1;7,3
Trondheim - Voll;SN68860;19.09.2015;0;0;6,3
Trondheim - Voll;SN68860;20.09.2015;0;1;7,7
Trondheim - Voll;SN68860;21.09.2015;0;1;6,7
Trondheim - Voll;SN68860;22.09.2015;0;0;5
Trondheim - Voll;SN68860;23.09.2015;0;1;6,7
Trondheim - Voll;SN68860;24.09.2015;0;0;6,3
Trondheim - Voll;SN68860;25.09.2015;0;0;4,7
Trondheim - Voll;SN68860;26.09.2015;0;1;7,3
Trondheim - Voll;SN68860;27.09.2015;0;1;8
Trondheim - Voll;SN68860;28.09.2015;0;1;6,7
Trondheim - Voll;SN68860;29.09.2015;0;0;5,3
Trondheim - Voll;SN68860;30.09.2015;0;1;7,7
Trondheim - Voll;SN68860;01.10.2015;0;1;8
Trondheim - Voll;SN68860;02.10.2015;0;1;8
Trondheim - Voll;SN68860;03.10.2015;0;1;7
Trondheim - Voll;SN68860;04.10.2015;0;0;6,3
Trondheim - Voll;SN68860;05.10.2015;1;0;2
Trondheim - Voll;SN68860;06.10.2015;1;0;2,3
Trondheim - Voll;SN68860;07.10.2015;1;0;1,3
Trondheim - Voll;SN68860;08.10.2015;1;0;3
Trondheim - Voll;SN68860;09.10.2015;0;1;7
Trondheim - Voll;SN68860;10.10.2015;0;0;4,7
Trondheim - Voll;SN68860;11.10.2015;0;1;7
Trondheim - Voll;SN68860;12.10.2015;0;0;5
Trondheim - Voll;SN68860;13.10.2015;0;1;7
Trondheim - Voll;SN68860;14.10.2015;0;0;5,7
Trondheim - Voll;SN68860;15.10.2015;0;1;7
Trondheim - Voll;SN68860;16.10.2015;0;0;5,7
Trondheim - Voll;SN68860;17.10.2015;0;1;6,7
Trondheim - Voll;SN68860;18.10.2015;0;1;7,7
Trondheim - Voll;SN68860;19.10.2015;0;1;7
Trondheim - Voll;SN68860;20.10.2015;0;0;6
Trondheim - Voll;SN68860;21.10.2015;0;1;6,7
Trondheim - Voll;SN68860;22.10.2015;0;1;8
Trondheim - Voll;SN68860;23.10.2015;0;1;7,7
Trondheim - Voll;SN68860;24.10.2015;0;0;5,3
Trondheim - Voll;SN68860;25.10.2015;0;0;5
Trondheim - Voll;SN68860;26.10.2015;0;1;8
Trondheim - Voll;SN68860;27.10.2015;0;0;6
Trondheim - Voll;SN68860;28.10.2015;0;0;2,3
Trondheim - Voll;SN68860;29.10.2015;1;0;2,3
Trondheim - Voll;SN68860;30.10.2015;0;0;4,3
Trondheim - Voll;SN68860;31.10.2015;0;1;7
Trondheim - Voll;SN68860;01.11.2015;0;1;7,7
Trondheim - Voll;SN68860;02.11.2015;0;1;7,7
Trondheim - Voll;SN68860;03.11.2015;0;0;6,3
Trondheim - Voll;SN68860;04.11.2015;0;0;3,3
Trondheim - Voll;SN68860;05.11.2015;0;0;4,7
Trondheim - Voll;SN68860;06.11.2015;1;0;1,7
Trondheim - Voll;SN68860;07.11.2015;0;0;5,3
Trondheim - Voll;SN68860;08.11.2015;1;0;3
Trondheim - Voll;SN68860;09.11.2015;0;0;6
Trondheim - Voll;SN68860;10.11.2015;0;1;6,7
Trondheim - Voll;SN68860;11.11.2015;0;0;5,3
Trondheim - Voll;SN68860;12.11.2015;0;0;2,3
Trondheim - Voll;SN68860;13.11.2015;0;0;3,7
Trondheim - Voll;SN68860;14.11.2015;0;0;3,7
Trondheim - Voll;SN68860;15.11.2015;0;0;6,3
Trondheim - Voll;SN68860;16.11.2015;0;0;6,3
Trondheim - Voll;SN68860;17.11.2015;1;0;1,7
Trondheim - Voll;SN68860;18.11.2015;0;0;4,7
Trondheim - Voll;SN68860;19.11.2015;0;0;6,3
Trondheim - Voll;SN68860;20.11.2015;0;1;7,7
Trondheim - Voll;SN68860;21.11.2015;0;0;6,3
Trondheim - Voll;SN68860;22.11.2015;0;0;6,3
Trondheim - Voll;SN68860;23.11.2015;0;0;4
Trondheim - Voll;SN68860;24.11.2015;0;0;6
Trondheim - Voll;SN68860;25.11.2015;0;0;5,3
Trondheim - Voll;SN68860;26.11.2015;0;1;6,7
Trondheim - Voll;SN68860;27.11.2015;0;1;8
Trondheim - Voll;SN68860;28.11.2015;0;0;4
Trondheim - Voll;SN68860;29.11.2015;0;0;6
Trondheim - Voll;SN68860;30.11.2015;0;1;8
Trondheim - Voll;SN68860;01.12.2015;0;1;6,7
Trondheim - Voll;SN68860;02.12.2015;0;1;8
Trondheim - Voll;SN68860;03.12.2015;0;0;5
Trondheim - Voll;SN68860;04.12.2015;0;1;8
Trondheim - Voll;SN68860;05.12.2015;0;1;7
Trondheim - Voll;SN68860;06.12.2015;0;0;6,3
Trondheim - Voll;SN68860;07.12.2015;0;0;5
Trondheim - Voll;SN68860;08.12.2015;0;1;7
Trondheim - Voll;SN68860;09.12.2015;0;0;4,7
Trondheim - Voll;SN68860;10.12.2015;0;0;5,7
